  20.07421	    1.78549	   24.34299	     48
   4.14479	   33.67240	   96.10740	     52
   8.50728	   36.71637	    4.59146	     50
  37.12864	    4.73058	    5.23398	     50
  47.88605	   48.11437	   28.11748	     73
  21.84940	   29.83891	   70.98390	     64
  13.84194	    1.61444	   96.78496	     54
  28.87572	   24.42687	   97.89414	     50
  44.64818	    1.82020	   85.36010	     83
  26.17772	   47.53039	   73.34006	     41
  45.60315	   13.87564	   59.84619	     46
  39.25608	   47.69067	    3.60993	     48
  39.01065	   26.95167	    1.70918	     70
  43.54608	   40.04246	   33.84801	     47
   4.17718	   36.40208	   43.29647	     60
  11.83441	   43.04659	   50.07392	     74
   5.27502	   26.63733	   50.39081	     60
  19.36967	    1.76826	   84.01613	     40
  47.95973	   28.98424	   96.55367	     71
  14.42990	   16.14572	   23.57914	     72
  46.53419	    5.36481	   22.52996	     49
  48.11955	    3.70259	   61.54722	     44
  40.54735	   37.91942	   52.99529	     60
  44.46618	   12.04703	    9.96132	     44
  22.02192	   34.42417	   37.90413	     76
   8.67113	   36.67991	   28.71119	     63
  18.99970	   41.00355	   71.54635	     62
  34.68251	   38.66864	   64.84213	     50
  40.44480	   39.14662	   10.73689	     62
  13.20149	   29.86447	   98.02651	     48
  12.34427	   37.39519	   58.34450	     46
  25.86161	   33.53085	   28.36197	     57
  11.72501	   46.97630	   74.13819	     53
  46.44955	   27.46739	   61.17918	     46
  35.45941	   35.50905	   27.16807	     60
   2.14328	   16.91355	   48.17111	     43
  14.08512	   36.46301	   42.95122	     56
  27.00714	   16.03078	   81.05351	     81
  39.22625	   47.80291	   64.20563	     63
   9.15451	   22.21094	   92.90580	     72
  21.52442	   26.25031	   60.10690	     80
  46.84814	   21.82498	   51.25111	     59
  39.38137	    1.77675	   93.61738	     67
  30.97144	    1.68256	   85.91024	     72
  34.22623	   13.66195	   70.49068	     70
  39.22308	   34.17007	   93.01384	     57
  35.40699	   20.92451	    8.45010	     75
   2.34336	   43.29605	   83.91709	     58
   1.79998	   18.73504	   19.74094	     38
  40.41933	    3.48123	   53.12182	     44
  14.02877	   34.56403	   14.67576	     59
  11.44777	   24.26259	   60.48864	     62
  37.12258	   26.63798	   32.06088	     51
  33.20187	   26.46036	   69.72017	     55
  37.26568	   43.35585	   88.87447	     42
  27.66620	   25.74169	   16.51295	     51
  19.04092	   15.76175	   59.22337	     55
  19.53634	   30.04851	    5.27314	     59
  19.97728	   25.17690	   22.38490	     57
   4.10415	   44.41899	   97.74662	     50
   9.80824	   16.33307	    7.00683	     74
   1.79501	   28.78673	   73.86647	     57
   4.34218	   45.60200	   21.49707	     38
  36.81554	    6.27680	   15.30788	     89
  30.19469	   40.20098	   37.96260	     38
  22.93149	   45.92488	   97.54913	     55
  47.93317	    7.40793	   47.77829	     37
   3.50446	    7.80123	    5.15722	     45
